player ID,Batting Avg.,Strike rate,L/R Handed Batsman,Wicket keeping,economy,avg speed,fitness index,Sixes,fours,Fast bowling,Leg Spin,Off Spin,against fast bowl,against leg spin,against off spin,Fanbase,Catch percentage,Region,Not selected
246048,1,4,2,6,5,6,6,6,6,6,5,6,7,7,5,7,6,RGB7,0
387987,1,2,1,5,7,10,10,6,2,7,3,7,8,9,6,6,9,RGB10,1
788442,3,4,1,5,7,2,5,3,5,5,5,3,7,7,5,7,7,RGB6,0
465918,0,5,1,7,5,6,5,9,4,6,5,8,7,9,5,7,6,RGB8,0
295804,0,5,1,6,7,7,7,9,5,7,7,7,8,8,8,9,5,RGB1,0
539488,6,3,2,7,7,8,7,8,6,6,8,6,10,8,7,7,8,RGB5,0
737315,0,5,1,7,-3,7,-3,-3,8,7,-3,7,-3,8,8,8,6,RGB1,0
418524,0,5,1,6,4,6,8,8,6,6,6,6,6,6,8,8,6,RGB3,0
503430,1,3,1,7,4,5,7,8,6,6,7,7,6,8,8,8,6,RGB3,0
565003,0,5,1,7,8,9,3,-1,8,5,4,6,7,6,4,5,6,RGB8,0
853477,0,4,2,6,7,6,5,5,5,6,4,4,5,5,-1,5,5,RGB5,0
479674,6,2,2,9,7,8,8,10,5,1,3,7,10,10,5,3,2,RGB5,0
593685,0,5,1,9,8,10,10,10,9,8,10,0,10,9,-1,7,10,RGB3,0
741223,6,4,2,8,7,8,7,7,5,7,7,8,7,8,7,7,7,RGB6,0
810607,0,5,1,5,8,7,8,7,7,6,6,7,7,8,6,6,6,RGB6,0
392555,0,4,1,8,5,6,7,8,5,5,6,6,7,8,6,7,6,RGB3,0
123755,0,5,1,5,6,5,8,8,6,6,7,7,7,7,8,7,7,RGB8,0
347261,0,1,1,4,5,6,9,7,3,6,6,5,8,8,9,9,2,RGB7,0
644610,2,2,1,7,5,6,8,3,9,4,8,6,9,10,5,9,6,RGB9,0
709061,2,2,1,9,5,7,8,8,6,6,6,8,8,8,8,9,5,RGB2,0
474407,2,4,1,0,5,9,8,-1,1,10,6,-1,10,10,5,9,5,RGB2,0
408467,0,5,1,10,10,10,9,8,8,8,10,10,10,10,9,9,9,RGB10,0
707815,3,4,1,9,2,6,5,2,0,2,2,5,5,5,-1,2,5,RGB9,0
475088,6,4,2,7,5,4,4,8,3,3,4,5,8,8,6,8,3,RGB8,1
412881,1,4,1,9,9,10,8,6,10,10,8,10,10,10,10,9,8,RGB3,0
501172,2,4,1,5,5,4,6,5,5,6,4,5,2,5,3,4,6,RGB2,0
611371,3,4,1,9,7,7,8,10,2,-1,-1,-1,5,-1,5,9,8,RGB6,0
804491,1,5,1,8,8,9,5,9,9,5,8,9,8,9,5,9,8,RGB6,0
507365,0,5,1,10,10,10,10,10,10,10,10,-1,-1,-1,10,10,10,RGB8,0
587449,6,3,2,6,6,6,6,6,6,6,-1,-1,-1,7,7,-1,6,RGB7,0
488072,1,4,1,7,8,7,7,7,7,6,6,7,7,8,7,7,6,RGB6,0
857885,0,5,1,4,7,8,5,7,4,5,7,6,7,9,6,8,8,RGB1,0
154949,6,5,2,8,7,6,8,7,6,7,6,7,7,5,7,8,8,RGB8,1
951736,0,2,1,5,4,6,6,6,5,5,6,6,6,6,5,6,5,RGB7,0
489285,0,5,1,5,7,7,-1,7,7,8,7,6,7,10,6,7,7,RGB10,0
518686,6,5,2,10,10,8,10,10,4,10,10,10,10,10,10,10,5,RGB8,1
224110,6,4,2,8,-1,7,5,8,4,4,6,5,5,9,3,6,5,RGB1,0
851101,6,4,2,7,8,8,8,6,8,8,8,7,8,8,8,9,7,RGB9,0
266104,6,3,2,7,7,6,5,-1,5,7,5,5,5,5,5,6,5,RGB6,1
549558,0,5,1,5,9,7,9,5,7,4,8,6,3,7,6,7,6,RGB8,0
979937,1,2,1,7,6,5,9,8,4,7,8,7,9,9,9,9,6,RGB2,0
774206,1,3,1,8,5,7,7,9,6,4,8,7,8,9,9,7,6,RGB8,0
854576,2,2,1,8,8,10,7,8,6,7,8,6,7,8,7,10,10,RGB2,0
577477,1,3,1,10,9,4,8,10,4,10,7,9,10,10,8,10,10,RGB3,0
598325,6,3,2,4,5,6,7,5,7,8,6,7,7,9,6,8,7,RGB10,0
207449,6,3,2,8,8,9,5,9,9,5,8,9,8,9,5,9,8,RGB6,0
952849,0,5,1,4,4,8,6,6,2,2,3,5,7,9,7,9,2,RGB7,0
404993,6,4,2,5,9,8,4,7,6,4,4,8,9,8,4,8,7,RGB7,0
903000,1,5,1,6,8,7,7,8,7,7,8,7,6,8,8,7,7,RGB8,0
