id,content,type
1694628490,"@avataraang awww ) where'd you get that? hugh is so thin. no traces of being wolverine yet. btw, who's that other guy besides RDJ?",surprise
1751142947,@mistressmia Their is no such thing as TRANSPARENCY only selective OPACITY...,enthusiasm
1695004607,"@Dojie wouldn't that cost quite a bit, I mean flying pizza from China? Nice fusion idea I may have to experiment",fun
1752918270,Eminem's new song &quot;Beautiful&quot; is amazing!. Listen to the MAGIC right NOW!!  http://www.myspace.com/steve005,surprise
1751176554,"@AmyriadfthINGs Yeah, I've never seen that! But, I guess I've never really needed it.",surprise
1957710304,"@RikkAlaniz I'm glad he didn't get too hurt, I know some bad things can happen on motorcycles  you and everyone else are okay too, right?",love
1966315425,"@tymrichardson the movie Tym... So sad, I was crying non-stop.",sadness
1695441836,@saygoodbye2luv Thanks for the concern. And checking up on me! Much appreciated,neutral
1965418622,Love the movie Grease! Can't believe that Jeff Conaway is the same guy who played Kenickie...so sad to see him on Celebrity Rehab,sadness
1960325570,mcdonalds mccafe tastes like chewin on a cigarette butt.  I miss my sonic card,sadness
1694312532,just cos i dont have an ipod touch yet - doesn't mean i can't look at some apps! they're sooo cool.  twittering in school? awesome!,fun
1751886143,One taken from earlier this week!  http://twitpic.com/4wb42,neutral
1957084638,Having Fever  dont feel to work,sadness
1751988518,"@myjacksonbrowne  hey y'all, we are waiting for final edits on our cover of &quot;sombody's baby.&quot;  can't wait for some input",worry
1956987600,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,hate
1695220793,@kitankhamun Pitty he wasnt arnd 2 huh! I wld have rlly wet myself! Otherwise the wedding was gr8!! Had a gd time &amp; lots of smiley faces!,happiness
1753051905,samberg and timberlake collaboration; dick in a box,hate
1751643033,@cassowaryjewel Excellent point.,happiness
1753548135,@BumbleBeeBree love you more. cant wait to see ya soon  night,neutral
1964894485,wish I can go to the Roots pinic,sadness
1751465138,MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,fun
1753854609,"@ashestoashessn2 Fab, eh?  Feel free to come along for some pre-ep 4 chat and drinks over at Luigi's - http://www.luigis.org.uk tomorrow!",fun
1963189857,@Saaaandra I want to go with you !  But I'm tierd....,sadness
1966215991,has such a freakin migraine,sadness
1753498051,@fatinee haha  i did! many times before!,fun
1694309720,"@dr_aureole Oh my gosh, so cute!!!",love
1695342983,Good Morning!  ? http://blip.fm/~5jnl7,sadness
1752847035,Pulled out the breakfast sausage for Mothers Day. Hopefully the baby sleeps in,happiness
1694531749,having a lazy day after a very alcoholic wk end!!,neutral
1696134733,@QueenieCyrus Heyyy  wats up?,love
1694420097,"@ejoleski but i do emily ahahha you scare me, so it would work",fun
1957677837,On a brighter note.. still at work at 6:15 on Friday working on other peoples problems...  oh man. I'm SO eating pizza tonight. hoorah!,sadness
1694051650,@mistressmia And U are doing Brilliantly sweetie!!!   Blessings and Joy to you!!!,love
1753774894,@moeneekah i hope he does ; join @dailybooth and you'll find one,neutral
1960755437,"@Petiethecat None of Meowmie's friends have money, and even if they did, she wouldn't be able to pay them back.",worry
1695004562,Just got to school. Goin to Cinncinatti Wednesday!,happiness
1965372657,i cant spell,worry
1962661667,@DJMagic aww i'm sorry!! I was rushing around on my lunch break so I didn't even think of it!!,worry
1963001727,@saromadian srry can't go paintballing tonight  and there are no good movies out,neutral
1694013685,@violetasvk cool,love
1695728926,@verygraceless No Trump casino in Vegas.,neutral
1964629665,@ninjabetic Oh no!!    Hope they get you in soon and can make you feel all better.  Hugs from the other coast!!,sadness
1960870564,"Awh, its the last day of the tour  I'll miss hangin w/@sendoutscuds and Children 18:3. Soooo...let's make it an awesome nite in OK!!",sadness
1966093934,too sick for rigging tomorrow.,anger
1753568397,Finally came around to shorten my Twitter username from @pascalfinette to @pfinette. If you follow me - no need to change anything.,worry
1957044935,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,hate
1753483832,"Happy Mothers Day! Same day, more chocolate",love
1750964688,"@Turch Aww, congrats to the family. ;) Send me piccies in the email!",happiness
1966107794,sitting in bed where I will be for the weekend.,neutral
1961219726,@lamborghinibow u were doing good with the replys now u fallin off sad face,worry
1965314925,Test discovery just missed being in Py3.1,surprise
1752919691,I want to wish HAPPY MOTHER'S DAY to my two favorite moms in the world: My own mom of course  and my sister!!! HAPPY MOM'S DAY TO YOU TWO!,happiness
1694813635,feel like going home and sleep till the next day!,enthusiasm
1752052845,ending my show with Disturbed: Just Stop! holla at y'all sunday night!,empty
1960554443,"@tommcfly Tom! @buonotomato and I were wondering if you'd do a tour in Asia, specifically the Philippines. Any chance you will soon?",fun
